text,nile
"Lumi, block VoIP traffic from 00:00 to 06:00",define intent uniIntent: for endpoint('network') block traffic('VoIP') start hour('24:00') end hour('06:00')
Can you block VoIP traffic from midnight to 6AM?,define intent uniIntent: for traffic('all') block traffic('VoIP') start hour('24:00') end hour('06:00')
I meant to say from 1AM to 6AM,define intent uniIntent: for endpoint('network') start hour('01:00') end hour('06:00')
"hey lumi, please add a DPI to ensure students from the labs are not accessing suspicious applications",define intent uniIntent: for endpoint('labs') add middlebox('dpi')
Students shall download no more than 1000000 megabytes per week,"define intent uniIntent: for endpoint('network') set quota('download', '1000000', 'mb/wk')"
set bandwidth to at least 100 mbps,"define intent uniIntent: for endpoint('network') set bandwidth('max', '100', 'mbps')"
set bandwidth to at least 100 mbps,"define intent uniIntent: for endpoint('network') set bandwidth('max', '100', 'mbps')"
can you block VoIP traffic from 12 AM to 6 AM?,define intent uniIntent: for traffic('all') block traffic('VoIP') start hour('24:00') end hour('06:00')
"Hey Lumi, please block traffic for all students",define intent uniIntent: for group('students') block traffic('all')
"Lumi, set a 5 Gbps limit for the Servers from 4PM to 7PM","define intent uniIntent: for endpoint('servers') set bandwidth('max', '5', 'gbps') start hour('16:00') end hour('19:00')"
At endpoint Dorms set quota to 10 GB per week,"define intent uniIntent: for endpoint('network') set quota('download', '10', 'gb/wk')"
block all traffic at Dorms location,define intent uniIntent: for endpoint('network') block traffic('all')
endpoint dorms set quota to 10 GB per week,"define intent uniIntent: for endpoint('network') set quota('download', '10', 'gb/wk')"
inspect all traffic from LABS through DPI,"define intent uniIntent: for endpoint('labs'), traffic('all') add middlebox('dpi')"
Between internet and labs block traffic from students to f2movies,define intent uniIntent: from endpoint('gateway') to endpoint('labs') for group('students') block service('F2movies')
Between internet and servers limit traffic to 5Gbps interval 4pm to 7pm,"define intent uniIntent: from endpoint('gateway') to endpoint('servers') set bandwidth('max', '5', 'gbps')"
Limit torrent traffic to guest users to 100 mbps.,"define intent uniIntent: for group('guests'), traffic('torrent') set bandwidth('max', '100', 'mbps')"
please block traffic for all students.,define intent uniIntent: for group('students') block traffic('all')
block site F2movies traffic  for students in the labs,"define intent uniIntent: for group('students'), endpoint('labs') block service('F2movies')"
"Hey Lumi, add DPI to the labs network",define intent uniIntent: for endpoint('labs') 
"hey lumi, please limit bandwidth for torrent traffic to 100 Mbps","define intent uniIntent: for traffic('torrent') set bandwidth('max', '100', 'mbps')"
set quota to 10 GB per week at labs,"define intent uniIntent: for endpoint('labs') set quota('download', '10', 'gb/wk')"
set quota to 10 GB per week at servers,"define intent uniIntent: for endpoint('network') set quota('download', '10', 'gb/wk')"
allow all student traffic in the network,"define intent uniIntent: for group('students'), traffic('all'), endpoint('network') "
allow all traffic in the network,define intent uniIntent: for endpoint('network') 
block traffic,define intent uniIntent: for endpoint('network') block traffic('all')
Limit the traffic to server racks to 5 Gbps from 4 pm to 7 pm.,"define intent uniIntent: for traffic('all'), endpoint('servers') set bandwidth('max', '5', 'gbps') start hour('16:00') end hour('19:00')"
Limit traffic to dorms to 10 gb download per week,"define intent uniIntent: for endpoint('dorms'), traffic('all') set quota('download', '10', 'gb/hr')"
block F2Movies for students in labs,"define intent uniIntent: for group('students'), endpoint('labs') block service('F2movies')"
Lumi block all site with 'xxx',define intent uniIntent: for endpoint('network') 
"Lumi, limit to students to a maximum per week download of 10 GB in dorms","define intent uniIntent: for group('students') set quota('download', '10', 'per week')"
Limit server bandwidth from 4pm to 7pm up to 5Gbps,"define intent uniIntent: for endpoint('network') set bandwidth('max', '5', 'gbps') start hour('16:00') end hour('19:00')"
route all traffic through DPI,define intent uniIntent: for traffic('all') add middlebox('dpi')
route all traffic to Labs through DPI,"define intent uniIntent: for endpoint('labs'), traffic('all') add middlebox('dpi')"
route all traffic to Labs through DPI,"define intent uniIntent: for endpoint('labs'), traffic('all') add middlebox('dpi')"
dorms are allowed to download 10 gb per week,"define intent uniIntent: for endpoint('network') set quota('download', '10', 'gb/wk')"
block F2movies traffic for students in the labs,"define intent uniIntent: for group('students'), endpoint('labs') block service('F2movies')"
set a 5 Gbps bandwidth limit for the server racks from 4PM to 7PM,"define intent uniIntent: for endpoint('servers') set bandwidth('max', '5', 'gbps') start hour('16:00') end hour('19:00')"
"Lumi, for the guests network limit torrent traffic to 100MBps","define intent uniIntent: for group('guests'), traffic('torrent') set bandwidth('max', '100', 'mbps')"
"Lumi, limit the bandwidth to the servers to 5Gbps from 4PM to 7PM","define intent uniIntent: for endpoint('servers') set bandwidth('max', '5', 'gbps') start hour('16:00') end hour('19:00')"
"Hey Limi, please redirect all traffic from internet to DPI",define intent uniIntent: for endpoint('gateway') 
Please limit the torrent traffic from gateway to guest to 100Mbps,"define intent uniIntent: for endpoint('gateway'), group('guests'), traffic('torrent') set bandwidth('max', '100', 'mbps')"
"Hey Lumi, please reduce bandwidth traffic for all students","define intent uniIntent: for group('students'), traffic('all')"
close link between DMZ and labs,"define intent uniIntent: for endpoint('labs'), endpoint('DMZ')  add middlebox('link')"
block all traffic between dmz and labs,define intent uniIntent: from endpoint('DMZ') to endpoint('labs') block traffic('all')
block all traffic between DMZ and labs,define intent uniIntent: from endpoint('DMZ') to endpoint('labs') block traffic('all')
allow all traffic between dmz and servers,define intent uniIntent: from endpoint('DMZ') to endpoint('servers') 
limit all traffic between LAN and gests to 100 Mbps,"define intent uniIntent: for endpoint('LAN'), traffic('all') set bandwidth('max', '100', 'mbps')"
limit all traffic between LAN and Guests to 100 Mbps,"define intent uniIntent: for endpoint('guests'), endpoint('LAN'), traffic('all') set bandwidth('max', '100', 'mbps')"
Make all traffic get inspected by the deep packet inspection middle box.,define intent uniIntent: for traffic('all') add middlebox('dpi')
"Lumi, Lets configure the Lab networks for deep packet inspection",define intent uniIntent: for endpoint('labs')  add middlebox('dpi')
limit students to 10GB of download per week,"define intent uniIntent: for group('students') set quota('download', '10', 'gb/hr')"
block f2movies for students in labs,"define intent uniIntent: for group('students'), endpoint('labs') block service('F2movies')"
"Hi Lumi, set all flows traffic to DPI",define intent uniIntent: for endpoint('network')  add middlebox('dpi')
all traffic from the internet to the labs inspected by the DPI,define intent uniIntent: from endpoint('gateway') to endpoint('labs') for traffic('all') add middlebox('dpi')
"Hey Lumi, please block traffic for all students.",define intent uniIntent: for group('students') block traffic('all')
Please make traffic coming from the Internet pass through a firewall.,define intent uniIntent: for endpoint('gateway') add middlebox('firewall')
"Hey Lumi, please inspect all traffic for the labs","define intent uniIntent: for endpoint('labs'), traffic('all') add middlebox('dpi')"
for students in the labs block f2movies,"define intent uniIntent: for group('students'), endpoint('labs') block service('F2movies')"
set a 5 Gbps bandwidth limit for the server racks from 4PM to 7PM.,"define intent uniIntent: for endpoint('servers') set bandwidth('max', '5', 'gbps') start hour('16:00') end hour('19:00')"
The exchange of data between the company’s headquaters and its remote production sites is to be done between 18:00 and 22:00 hours in encrypted mode,define intent uniIntent: for endpoint('network') allow service('remote') start hour('18:00') end hour('22:00')
block netflix,define intent uniIntent: for endpoint('network') block service('netflix')
block traffic in dorms,define intent uniIntent: for endpoint('dorms') block traffic('all')
limit server bandwidth to 5gbps from 4pm to 7pm,"define intent uniIntent: for endpoint('network') set bandwidth('max', '5', 'gbps') start hour('16:00') end hour('19:00')"
"Hey Lumi, please block traffic for all students.",define intent uniIntent: for group('students') block traffic('all')
block traffic from dorm,define intent uniIntent: for endpoint('dorms') 
"Add firewall and intrusion detection from gateway to backend for client B, with latency less than 10ms and 100mbps of bandwidth, and allow HTTPS only, everyday from 09:00 to 18:00","define intent uniIntent: from endpoint('gateway') to endpoint('backend') add middlebox('firewall'), middlebox('ids') allow protocol('https'), protocol('everyday') set bandwidth('max', '10', 'mbps') start hour('09:00') end hour('18:00')"
Students can download up to 10 GB per week of data,"define intent uniIntent: for group('students') set quota('download', '10', 'gb/wk')"
"Please Lumi, forward all internet traffic to the DPI",define intent uniIntent: for endpoint('gateway') add middlebox('dpi')
"please lumi, define dorms quota to 10 gb per week","define intent uniIntent: for endpoint('network') set quota('download', '10', 'gb/wk')"
set a 10 GB per week download quota for dorms.,"define intent uniIntent: for endpoint('dorms') set quota('download', '10', 'gb/wk')"
Students shall download no more than 1000000 MB per week,define intent uniIntent: for group('students')
I meant to say from 1 AM to 6 AM,define intent uniIntent: for endpoint('network') start hour('01:00') end hour('06:00')
Students shall download no more than 1000000 MB per week,"define intent uniIntent: for endpoint('network') set quota('download', '1000000', 'mb/wk')"
"Lumi, for the guest network, limit the traffic of torrent protocol to 100 mbps","define intent uniIntent: for group('guests'), traffic('torrent') set bandwidth('max', '100', 'mbps')"
"Currently, the University of Illinois does not  have any rate limits set in place",define intent uniIntent: for endpoint('University of Illinois') 
does not have any rate limits,define intent uniIntent: for endpoint('network')
University Housing monitors only the amount of traffic of each user,define intent uniIntent: for group('users') add middlebox('traffic monitor')
Housing does not normally limit the amount of bandwidth,define intent uniIntent: for endpoint('network')
please remove DPI from DMZ starting at 6am until 9pm,define intent uniIntent: for endpoint('DMZ') remove middlebox('dpi') start hour('06:00') end hour('21:00')
please do not let any music streaming in the network,define intent uniIntent: for endpoint('network') block traffic('streaming')
"Currently, the University of Illinois does not have any rate limits",define intent uniIntent: for endpoint('University of Illinois')
"Currently, the University of Illinois does not have any rate limits",define intent uniIntent: for endpoint('University of Illinois')
"Currently, the University of Illinois does not have any rate limits",define intent uniIntent: for endpoint('University of Illinois')
"Please, Lumi, block Youtube and all other streaming traffic","define intent uniIntent: for endpoint('network') block service('youtube') traffic('all'), traffic('streaming')"
The system will trigger an overuse notification if the average for either inbound or outbound usage exceeds 10 GB per week,"define intent uniIntent: for service('trigger') add middlebox('overuse') set quota('download', '10', 'gb/wk')"
unblock traffic,define intent uniIntent: for endpoint('network') 
Block F2movies traffic from Internet to Labs,define intent uniIntent: from endpoint('gateway') to endpoint('labs') block service('F2movies')
block incoming tcp connection from the internet,define intent uniIntent: for endpoint('gateway') block protocol('tcp')
block incoming tcp connection whose destination port is smaller than 1024 from the internet,define intent uniIntent: for endpoint('gateway') block service('1024') protocol('tcp')
block incoming tcp connection from the internet,define intent uniIntent: for endpoint('gateway') block protocol('tcp')
Students can download up to 10 GB per week of data,"define intent uniIntent: for group('students') set quota('download', '10', 'gb/wk')"
"Hey Lumi, please block traffic for all students.",define intent uniIntent: for group('students') block traffic('all')
Sony Playstation 2 is allowed by the University firewall,"define intent uniIntent: for endpoint('university'), service('PlayStation 2')"
Please make traffic coming from the Internet pass through a firewall,define intent uniIntent: for endpoint('gateway') add middlebox('firewall')
I want to listen music,define intent uniIntent: for endpoint('network') allow traffic('streaming')
I want to listen music,define intent uniIntent: for endpoint('network') allow traffic('streaming')
Please make traffic coming from the Internet pass through a firewall,define intent uniIntent: for endpoint('gateway') add middlebox('firewall')
students traffic block 1am to 3am,define intent uniIntent: for group('students') block service('1')
block traffic between 1am and 3am,define intent uniIntent: for endpoint('network') block traffic('all') start hour('01:00') end hour('03:00')
set bandwidth to at most 100 mbps,"define intent uniIntent: for endpoint('network') set bandwidth('max', '100', 'mbps')"
set bandwidth to at least 100 mbps,"define intent uniIntent: for endpoint('network') set bandwidth('max', '100', 'mbps')"
Can you block VoIP traffic from 12 AM to 6 AM?,define intent uniIntent: for traffic('all') block traffic('VoIP') start hour('24:00') end hour('06:00')
"Sorry, I meant to say from 1 AM to 6 AM",define intent uniIntent: for endpoint('network') start hour('01:00') end hour('06:00')
The University of Illinois does not have any rate limits set in place,define intent uniIntent: for endpoint('University of Illinois') 
SMTP is allowed by the University firewall,"define intent uniIntent: for endpoint('university'), protocol('smtp')"
"hey lumi, can you set the bandwith for students at 30mbps?","define intent uniIntent: for group('students') set bandwidth('max', '30', 'mbps')"
"Hey Lumi, please block traffic for all students.""",define intent uniIntent: for group('students') block traffic('all')
block traffic,define intent uniIntent: for endpoint('network') block traffic('all')
check all traffic from the Labs using the DPI middlebox,"define intent uniIntent: for endpoint('labs'), traffic('all') add middlebox('dpi')"
"Add firewall and intrusion detectionfrom the gateway to the backend for client B with at least100mbps of bandwidth, and allow HTTPS only","define intent uniIntent: for endpoint('backend') add middlebox('firewall'), middlebox('intrusion') allow protocol('https') set bandwidth('max', '100', 'mbps')"
"Hey Lumi, please block traffic for all students.",define intent uniIntent: for group('students') block traffic('all')
"Hey Lumi, please block traffic for some students.",define intent uniIntent: for group('students') block traffic('all')
"Hey Lumi, please block traffic for some students.",define intent uniIntent: for group('students') block traffic('all')
"Hey, Lumi!  Inspect traffic for students in the dorms.","define intent uniIntent: for group('students'), endpoint('dorms'), traffic('all') add middlebox('dpi')"
Hi Lumi! Inspect student traffic in classrooms.,"define intent uniIntent: for group('students'), traffic('all') add middlebox('dpi')"
"please lumi, forward all internet traffic to the DPI then to labs","define intent uniIntent: for endpoint('labs'), endpoint('gateway') add middlebox('dpi')"
"""Hey Lumi, please block traffic for all students.""",define intent uniIntent: for group('students') block traffic('all')
"""Please make traffic coming from the Internet pass through a firewall.""",define intent uniIntent: for endpoint('gateway') add middlebox('firewall')
"""Students can download up to 10 GB per week of data.""","define intent uniIntent: for group('students') set quota('download', '10', 'gb/wk')"
Please make traffic coming from the Internet pass through a firewall.,define intent uniIntent: for endpoint('gateway') add middlebox('firewall')
Block mail traffic,define intent uniIntent: for traffic('all') block service('email')
Block mail traffic during the afternoon,define intent uniIntent: for endpoint('network') block service('email')
block youtube,define intent uniIntent: for endpoint('network') block service('youtube')
block facebook,define intent uniIntent: for endpoint('network') block service('facebook')
Please limit the traffic in the library room,define intent uniIntent: for endpoint('network') 
Inspect traffic in the dorm,"define intent uniIntent: for endpoint('dorm'), traffic('all') add middlebox('dpi')"
Please make traffic coming from the Internet pass through a firewall.,define intent uniIntent: for endpoint('gateway') add middlebox('firewall')
I want to access to full grammar of Lumi,define intent uniIntent: for endpoint('network')
Block traffic for the Dorm,define intent uniIntent: for endpoint('dorm') 
Inspect traffic from Youtube,"define intent uniIntent: for service('youtube'), traffic('all') add middlebox('dpi')"
Can you tell me how fast the internet speed is here,"define intent uniIntent: for endpoint('network') add middlebox('tell'), middlebox('how')"
Add description to node a interface,define intent uniIntent: for endpoint('network') add middlebox('description')
"Hey Lumi, please block traffic for all students.",define intent uniIntent: for group('students') block traffic('all')
Do not block traffic from students,define intent uniIntent: for group('students') 
make traffic coming from students pass through a firewall,define intent uniIntent: for group('students') add middlebox('firewall')
please increase the bandwidth usage to 1000 mbps for students,define intent uniIntent: for group('students') 
please increase the bandwidth usage to 1000 mbps for students,define intent uniIntent: for group('students') 
"Hey Lumi, please block traffic for all students.",define intent uniIntent: for group('students') block traffic('all')
Students can download up to 10 GB per week of data.,"define intent uniIntent: for group('students') set quota('download', '10', 'gb/wk')"
how can i find how much i payed social contribution?,define intent uniIntent: for traffic('social-media')
can i know how many payments i paid social security?,define intent uniIntent: for traffic('social-media')
"Hey Lumi, please block traffic for all students.",define intent uniIntent: for group('students') block traffic('all')
tudents can download up to 10 GB per week of data,"define intent uniIntent: for endpoint('network') set quota('download', '10', 'gb/wk')"
students can download up to 19 GB per week of data,define intent uniIntent: for group('students')
tudents can download up to 50 GB per week of data,"define intent uniIntent: for endpoint('network') set quota('download', '50', 'gb/wk')"
tudents can download up to 10 GB per week of data,"define intent uniIntent: for endpoint('network') set quota('download', '10', 'gb/wk')"
tudents can download up to 10 GB per week of data,"define intent uniIntent: for endpoint('network') set quota('download', '10', 'gb/wk')"
tudents can download up to 10 GB per of data,"define intent uniIntent: for endpoint('network') set quota('download', '10', 'gb/hr')"
tudents can download up to 10 GB per week of data,"define intent uniIntent: for endpoint('network') set quota('download', '10', 'gb/wk')"
"Hey Lumi, please block traffic for all students.""",define intent uniIntent: for group('students') block traffic('all')
"Hey Lumi, drive the studants traffic to DPI and then to Labs","define intent uniIntent: for endpoint('labs'), traffic('all') add middlebox('dpi')"
"Limit bandwidth usage to 50 mbps for professors.""","define intent uniIntent: for group('professors') set bandwidth('max', '50', 'mbps')"
Limit bandwidth usage to 50 mbps for professors.,"define intent uniIntent: for group('professors') set bandwidth('max', '50', 'mbps')"
check the ping of my network,define intent uniIntent: for endpoint('network')
Please make traffic coming from the Internet pass through a firewall.,define intent uniIntent: for endpoint('gateway') add middlebox('firewall')
Students can download up to 10 GB per week of data.,"define intent uniIntent: for group('students') set quota('download', '10', 'gb/wk')"
"Add firewall and intrusion detection from the gateway to the backend for client B with at least 100mbps of bandwidth, and allow HTTPS only","define intent uniIntent: from endpoint('gateway') to endpoint('backend') add middlebox('firewall'), middlebox('ids') allow protocol('https') set bandwidth('max', '100', 'mbps')"
"Hey Lumi, please block traffic for all students.",define intent uniIntent: for group('students') block traffic('all')
"Hey Lumi, please block traffic for all students at 2 am",define intent uniIntent: for group('students') block service('at 2 am') traffic('all')
"Hey Lumi, please block traffic for all students",define intent uniIntent: for group('students') block traffic('all')
Limit students group in the dorm to 10 GB per week,"define intent uniIntent: for group('students'), endpoint('dorm') set quota('download', '10', 'gb/wk')"
Limit students in the dorm to 10 GB per week,"define intent uniIntent: for group('students'), endpoint('dorm') set quota('download', '10', 'gb/wk')"
unblock facebook,define intent uniIntent: for endpoint('network') allow service('facebook')
limit network usage of all students in the dorms to no more than 10 gb per seven days,"define intent uniIntent: for group('students'), endpoint('dorms') set quota('download', '10', 'gb/wk')"
"Hey Lumi, please block traffic for all students",define intent uniIntent: for group('students') block traffic('all')
show all groups,define intent uniIntent: for endpoint('network')
"Hey Lumi, please unblock traffic for all students",define intent uniIntent: for group('students') 
"Hey Lumi, please block traffic for all students.""",define intent uniIntent: for group('students') block traffic('all')
block traffic for the dorm!,define intent uniIntent: for endpoint('dorm') block traffic('all')
"Hey Lumi, please block traffic for all students.",define intent uniIntent: for group('students') block traffic('all')
Limit bandwidth usage to 50 mbps for students,"define intent uniIntent: for group('students') set bandwidth('max', '50', 'mbps')"
Limit bandwidth usage to 50 mbps for professors,"define intent uniIntent: for group('professors') set bandwidth('max', '50', 'mbps')"
Students can download up to 10 GB per week of data,"define intent uniIntent: for group('students') set quota('download', '10', 'gb/wk')"
"""Students can download up to 10 GB per week of data.""","define intent uniIntent: for group('students') set quota('download', '10', 'gb/wk')"
"Please make traffic coming from the Internet pass through a firewall.""",define intent uniIntent: for endpoint('gateway') add middlebox('firewall')
"""Students can download up to 10 GB per week of data.","define intent uniIntent: for group('students') set quota('download', '10', 'gb/wk')"
"""Hey Lumi, please block traffic for all students.""",define intent uniIntent: for group('students') block traffic('all')
"""Students can download up to 10 GB per week of data.""","define intent uniIntent: for group('students') set quota('download', '10', 'gb/wk')"
Students can download up to 10 GB per week of data,"define intent uniIntent: for group('students') set quota('download', '10', 'gb/wk')"
"hey lumi, please block traffic for all students.",define intent uniIntent: for group('students') block traffic('all')
limit bandwidth usage to 50 mbps for students.,"define intent uniIntent: for group('students') set bandwidth('max', '50', 'mbps')"
"hey lumi, enable professors to download a maximum of 5 GB of data per month.","define intent uniIntent: for group('professors') set quota('download', '5', 'gb/hr')"
I want to reset passwords for all sites to default,define intent uniIntent: for traffic('all')
Please make traffic coming from the Internet pass through a firewall.,define intent uniIntent: for endpoint('gateway') add middlebox('firewall')
"Students can download up to 10 GB per week of data.""","define intent uniIntent: for group('students') set quota('download', '10', 'gb/wk')"
"""Hey Lumi, please block traffic for all students.""",define intent uniIntent: for group('students') block traffic('all')
Students can download upto 10GB data per week,"define intent uniIntent: for group('students') set quota('download', '10', 'gb/hr')"
Create a VLAN on the students router,"define intent uniIntent: for group('students'), protocol('VLAN')"
Create VLAN vlan-10 with CIDR 192.168.10.0/24 for the new office for faculty,"define intent uniIntent: for group('staff'), traffic('VLAN') add middlebox('Create')"
Please display the startup config on the students router,define intent uniIntent: for group('students') allow traffic('startup')
display the running configuration on the student router,define intent uniIntent: for group('students')
I want to design configurations for my campus network,define intent uniIntent: for endpoint('campus') add middlebox('design configurations')
connect host 192.168.0.1 to host 10.35.0.1,define intent uniIntent: for endpoint('hosts')
Limit bandwidth usage to 50 mbps for professors.,"define intent uniIntent: for group('professors') set bandwidth('max', '50', 'mbps')"
Create VLAN vlan-10 with CIDR 192.168.10.0/24 for the new office for faculty,"define intent uniIntent: for group('staff'), traffic('VLAN') add middlebox('Create')"
"Hey Lumi, please block traffic for all students.",define intent uniIntent: for group('students') block traffic('all')
please shut down all networks,define intent uniIntent: for traffic('all')
please block traffic for all students,define intent uniIntent: for group('students') block traffic('all')
Please make traffic coming from the Internet pass through a firewall.,define intent uniIntent: for endpoint('gateway') add middlebox('firewall')
Limit bandwidth usage to 50 mbps for professors,"define intent uniIntent: for group('professors') set bandwidth('max', '50', 'mbps')"
"Hey Lumi, limit to 10 GB per week the download traffic of students","define intent uniIntent: for group('students') set quota('download', '10', 'gb/wk')"
"Hey Lumi, limit to 10 GB per week the download traffic of Dorms","define intent uniIntent: for endpoint('dorms'), traffic('all') set quota('download', '10', 'gb/wk')"
"Lumi, set a 5 Gbps limit fot the Servers from 4PM to 7PM","define intent uniIntent: for endpoint('network') set bandwidth('max', '5', 'gbps') start hour('16:00') end hour('19:00')"
set quota to 10 GB per week at labs,"define intent uniIntent: for endpoint('network') set quota('download', '10', 'gb/wk')"
limit traffic to 5Gbps  Between internet and servers from 16:00 to 19:00,"define intent uniIntent: from endpoint('gateway') to endpoint('servers') set bandwidth('max', '5', 'gbps') start hour('16:00') end hour('19:00')"
block the F2movies website for lab students,"define intent uniIntent: for endpoint('labs'), group('students') block service('F2movies')"
unblock facebook traffic,define intent uniIntent: for service('facebook')
"please, limit the torrent traffic to 100Mbps","define intent uniIntent: for traffic('torrent') set bandwidth('max', '100', 'mbps')"
update network quota for dorms to 10GB/wk,"define intent uniIntent: for endpoint('dorms') set quota('download', '10', 'gb/wk')"
block traffic coming from F2movies in the labs,define intent uniIntent: for endpoint('labs') block service('F2movies')
"hi lumi, please set a maximum download quota of 10 GB per week for students in dorms","define intent uniIntent: for group('students'), endpoint('dorms') set quota('download', '10', 'gb/wk')"
"hey lumi, please block F2movies traffic for students in the labs","define intent uniIntent: for group('students'), endpoint('labs') block service('F2movies')"
set quota to 10 GB per week at servers,"define intent uniIntent: for endpoint('servers') set quota('download', '10', 'gb/wk')"
block all traffic,define intent uniIntent: for traffic('all') 
block facebook traffic,define intent uniIntent: for service('facebook') 
block all traffic,define intent uniIntent: for endpoint('network') block traffic('all')
limit every outgoing link from dorms to 10GB per week,"define intent uniIntent: for endpoint('dorms') set quota('download', '10', 'gb/wk')"
Limit server access from 4pm to 7pm up to 5Gbps,"define intent uniIntent: for endpoint('network') set bandwidth('max', '5', 'gbps') start hour('16:00') end hour('19:00')"
block traffic,define intent uniIntent: for endpoint('network') block traffic('all')
limit the traffic from 4pm to 7pm to 5gbps to servers,"define intent uniIntent: for endpoint('servers') set bandwidth('max', '5', 'gbps') start hour('16:00') end hour('19:00')"
block all traffic from students,define intent uniIntent: for group('students') block traffic('all')
do not block https from professors,define intent uniIntent: for group('professors') 
Students can download up to 10 GB per week of data,"define intent uniIntent: for group('students') set quota('download', '10', 'gb/wk')"
traffic from dorms are allowed to download 10 gb per week,"define intent uniIntent: for endpoint('dorms') set quota('download', '10', 'gb/wk')"
set a 10 GB per week download quota for students in dorms,"define intent uniIntent: for group('students'), endpoint('dorms') set quota('download', '10', 'gb/wk')"
"Lumi, limit the bandwidth to the dorms to 10GB per week","define intent uniIntent: for endpoint('dorms') set quota('download', '10', 'gb/wk')"
"Lumi, block all traffic to F2Movies for the Labs",define intent uniIntent: for endpoint('labs') block service('F2movies') traffic('all')
"Hey Lumi, please limit the bandwith from gateway to servers to 5Gbps from 4PM to 7PM","define intent uniIntent: from endpoint('gateway') to endpoint('servers') set bandwidth('max', '5', 'gbps') start hour('16:00') end hour('19:00')"
rate limit torrent 100mbps,"define intent uniIntent: for traffic('torrent') set bandwidth('max', '100', 'mbps')"
"Hey Lumi, please block outgoing traffic for all students",define intent uniIntent: for group('students') block traffic('all')
limit torrent traffic between LAN and Guests to 100 Mbps,"define intent uniIntent: for endpoint('guests'), endpoint('LAN'), traffic('torrent') set bandwidth('max', '100', 'mbps')"
Students can download up to 10 GB per week of data,"define intent uniIntent: for group('students') set quota('download', '10', 'gb/wk')"
limit students in dorms to download 10 GB per week,"define intent uniIntent: for group('students'), endpoint('dorms') set quota('download', '10', 'gb/wk')"
Limit bandwidth to 5 Gbps for the server racks from 4pm to 7pm,"define intent uniIntent: for endpoint('servers') set bandwidth('max', '5', 'gbps') start hour('16:00') end hour('19:00')"
block students in the labs from accessing F2movies,"define intent uniIntent: for group('students'), endpoint('labs') block service('F2movies')"
set a 5 Gbps bandwidth limit for the server racks from 4PM to 7PM.,"define intent uniIntent: for endpoint('servers') set bandwidth('max', '5', 'gbps') start hour('16:00') end hour('19:00')"
"Latency for client B must be less than 10 ms and 100 mbps of bandwidth, and allow HTTPS only, everyday from 9:00 to 18:00","define intent uniIntent: for endpoint('network') allow protocol('https'), protocol('everyday') set bandwidth('max', '10', 'mbps')"
limit traffic to 5Gbps  Between internet and servers,"define intent uniIntent: from endpoint('gateway') to endpoint('servers') for traffic('all') set bandwidth('max', '5', 'gbps')"
limit guest traffic to 100 mbps,"define intent uniIntent: for group('guests'), traffic('all') set bandwidth('max', '100', 'mbps')"
limit guest torrent bandwidth to 100 mpbs,"define intent uniIntent: for group('guests'), traffic('torrent') set quota('download', '100', 'mpbs')"
"Hey Lumi, please block traffic for all students.",define intent uniIntent: for group('students') block traffic('all')
"Add firewall and intrusion detection from the gateway to the backend for client B with at least 100mbps ofbandwidth, and only accept HTTPS packages","define intent uniIntent: from endpoint('gateway') to endpoint('backend') for protocol('https') add middlebox('firewall'), middlebox('ids') set bandwidth('max', '100', 'mbps')"
Limit bandwidth usage to 50 mbps for professors,"define intent uniIntent: for group('professors') set bandwidth('max', '50', 'mbps')"
"Hey Lumi, please block traffic for all students",define intent uniIntent: for group('students') block traffic('all')
redirect traffic for Eric through a firewall,define intent uniIntent: for protocol('redirect') add middlebox('firewall')
"Add firewall and intrusion detection from gateway to backend for classroom, with latency less than 10ms and 100mbps of bandwidth, and allow HTTPS only, everyday from 09:00 to 18:00","define intent uniIntent: from endpoint('gateway') to endpoint('backend') for endpoint('classrooms') add middlebox('firewall'), middlebox('ids') allow protocol('https'), protocol('everyday') set bandwidth('max', '10', 'mbps') start hour('09:00') end hour('18:00')"
Students can download up to 10 GB per week of data.,"define intent uniIntent: for group('students') set quota('download', '10', 'gb/wk')"
Block traffic from dorms,define intent uniIntent: for endpoint('dorms') 
"""Please make traffic coming from the Internet pass through a firewall.""",define intent uniIntent: for endpoint('gateway') add middlebox('firewall')
block Bob's traffic,define intent uniIntent: for endpoint('network') block traffic('all')
shutdown all student traffic,"define intent uniIntent: for group('students'), traffic('all')"
"Hey Lumi, please block traffic for all students.",define intent uniIntent: for group('students') block traffic('all')
route traffic to labs through DPI middlebox,"define intent uniIntent: for endpoint('labs'), protocol('route') add middlebox('dpi')"
limit torrent traffic for guests to 100 mpbs,"define intent uniIntent: for endpoint('guests'), traffic('torrent') set quota('download', '100', 'mpbs')"
limit server bandwidth to 5 gbps from 4 to 7 pm,"define intent uniIntent: for endpoint('network') set bandwidth('max', '5', 'gbps')"
"Add firewall and intrusion detection from the gateway to the backend for client B with at least 100mbps ofbandwidth, and allow HTTPS only","define intent uniIntent: from endpoint('gateway') to endpoint('backend') add middlebox('firewall'), middlebox('ids') allow protocol('https') set bandwidth('max', '100', 'mbps')"
set 10GB per week quota for the Dorms,"define intent uniIntent: for endpoint('dorms') set quota('download', '10', 'gb/wk')"
Inspect the traffic to the Labs,"define intent uniIntent: for endpoint('labs'), traffic('all') add middlebox('dpi')"
Students can download up to 10 GB per week of data.,"define intent uniIntent: for group('students') set quota('download', '10', 'gb/wk')"
